line;from;to;start_hour;end_hour;freq_min;start_min
s2;Bernau;Blankenfelde;0;1;20;3
s2;Bernau;Blankenfelde;4;25;20;43
s2;Buch;Lichtenrade;5;21;20;3
s2_r;Blankenfelde;Bernau;0;1;20;1
s2_r;Blankenfelde;Bernau;4;25;20;1
s2_r;Lichtenrade;Buch;5;21;20;21
s8;Gruenau;Birkenwerder;4;5;20;9
s8;Gruenau;Birkenwerder;9;14;20;49
s8;Wildau;Birkenwerder;5;9;20;14
s8;Wildau;Birkenwerder;14;19;20;14
s8;Gruenau;Blankenburg;0;1;20;9
s8;Gruenau;Blankenburg;22;25;20;9
s8;Blankenburg;Birkenwerder;21;24;60;33
s8_r;Birkenwerder;Gruenau;4;5;20;4
s8_r;Birkenwerder;Gruenau;9;14;20;4
s8_r;Birkenwerder;Wildau;5;9;20;4
s8_r;Birkenwerder;Wildau;14;19;20;4
s8_r;Blankenburg;Gruenau;0;1;20;5
s8_r;Blankenburg;Gruenau;22;25;20;5
s8_r;Birkenwerder;Blankenburg;21;24;60;23
s75;Muehlenbeck Moenchmuehle;Warschauer Str;0;1;20;4
s75;Muehlenbeck Moenchmuehle;Warschauer Str;3;5;20;44
s75;Muehlenbeck Moenchmuehle;Warschauer Str;5;21;10;4
s75;Muehlenbeck Moenchmuehle;Warschauer Str;21;25;20;4
s75_r;Warschauer Str;Muehlenbeck Moenchmuehle;0;1;20;10
s75_r;Warschauer Str;Muehlenbeck Moenchmuehle;4;5;20;7
s75_r;Warschauer Str;Muehlenbeck Moenchmuehle;5;21;10;4
s75_r;Warschauer Str;Muehlenbeck Moenchmuehle;21;25;20;10
