name;forward;backward
Adlershof;pt_27805_SuburbanRailway;pt_27805_SuburbanRailway
Anhalter Bahnhof;pt_308361_SuburbanRailway;pt_308361_SuburbanRailway
Attila Str;pt_245980_SuburbanRailway;pt_245980_SuburbanRailway
Baumschulenweg;pt_306089_SuburbanRailway;pt_306089_SuburbanRailway
Bergfelde;pt_310343_SuburbanRailway;pt_310343_SuburbanRailway
Bernau;pt_418946_Suburban_Railway;pt_418946_Suburban_Railway
Birkenwerder;pt_386358_SuburbanRailway_rail;pt_386358_SuburbanRailway_rail
Blankenburg;pt_93748_SuburbanRailway;pt_93748_SuburbanRailway
Blankenfelde;pt_530941_SuburbanRailway_rail;pt_530941_SuburbanRailway_rail
Bornholmer Str;pt_450043_SuburbanRailway;pt_450043_SuburbanRailway
Brandenburger Tor;pt_38354_SuburbanRailway;pt_38354_SuburbanRailway
Buch;pt_438753_SuburbanRailway;pt_438753_SuburbanRailway
Bucher Str;pt_hw4_SuburbanRailway;pt_hw4_SuburbanRailway
Buckower Chaussee;pt_582567_SuburbanRailway;pt_582567_SuburbanRailway
Eichwalde;pt_652323_SuburbanRailway;pt_652323_SuburbanRailway
Frankfurter Allee;pt_595977_SuburbanRailway;pt_595977_SuburbanRailway
Friedenstal;pt_535020_SuburbanRailway;pt_535020_SuburbanRailway
Friedrich Str;pt_299684_SuburbanRailway;pt_299684_SuburbanRailway
Friedrichsfelde Ost;pt_438123_SuburbanRailway;pt_438123_SuburbanRailway
Gehrenseestr;pt_123233_SuburbanRailway;pt_123233_SuburbanRailway
Gesundbrunnen;pt_64560_SuburbanRailway;pt_64560_SuburbanRailway
Greifswalder Str;pt_327725_SuburbanRailway;pt_327725_SuburbanRailway
Gruenau;pt_422660_SuburbanRailway;pt_422660_SuburbanRailway
Hohen Neuendorf;pt_158944_SuburbanRailway;pt_158944_SuburbanRailway
Hohenschoenhausen;pt_401397_SuburbanRailway;pt_401397_SuburbanRailway
Humbolthain;pt_494021_SuburbanRailway;pt_494021_SuburbanRailway
Johannistal;pt_485357_SuburbanRailway;pt_485357_SuburbanRailway
Karow;pt_122270_SuburbanRailway;pt_122270_SuburbanRailway
Karower Kreuz hoch;pt_hw3_SuburbanRailway;pt_hw3_SuburbanRailway
Karower Kreuz tief;pt_hw3_SuburbanRailway;pt_hw3_SuburbanRailway
Landsberger Allee;pt_6046_SuburbanRailway;pt_6046_SuburbanRailway
Lichtenberg;pt_394621_SuburbanRailway;pt_394621_SuburbanRailway
Lichtenrade;pt_630916_SuburbanRailway;pt_630916_SuburbanRailway
Mahlow;pt_52187_SuburbanRailway;pt_52187_SuburbanRailway
Malchow Nord;pt_hw1_SuburbanRailway;pt_hw1_SuburbanRailway
Marienfelde;pt_312961_SuburbanRailway;pt_312961_SuburbanRailway
Muehlenbeck Moenchmuehle;pt_138486_SuburbanRailway;pt_138486_SuburbanRailway
Noeldnerplatz;pt_66170_SuburbanRailway;pt_66170_SuburbanRailway
Nordbahnhof;pt_657409_SuburbanRailway;pt_657409_SuburbanRailway
Oranienburger Str;pt_578646_SuburbanRailway;pt_578646_SuburbanRailway
Ostkreuz;pt_378079_SuburbanRailway;pt_378079_SuburbanRailway
Pankow;pt_351543_SuburbanRailway;pt_351543_SuburbanRailway
Pankow Heinersdorf;pt_275805_SuburbanRailway;pt_275805_SuburbanRailway
Plaenterwald;pt_592259_SuburbanRailway;pt_592259_SuburbanRailway
Potsdammer Platz;pt_415349_SuburbanRailway;pt_415349_SuburbanRailway
Prenzlauer Allee;pt_572466_SuburbanRailway;pt_572466_SuburbanRailway
Priesterweg;pt_222332_SuburbanRailway;pt_222332_SuburbanRailway
Roentgental;pt_73276_SuburbanRailway;pt_73276_SuburbanRailway
Schichauweg;pt_644137_SuburbanRailway;pt_644137_SuburbanRailway
Schoenerlinder Str;pt_hw5_SuburbanRailway;pt_hw5_SuburbanRailway
Schoeneweide;pt_547448_SuburbanRailway;pt_547448_SuburbanRailway
Schoenfliess;pt_590716_SuburbanRailway;pt_590716_SuburbanRailway
Schoenhauser Allee;pt_421226_SuburbanRailway;pt_421226_SuburbanRailway
Selheimbruecke;pt_hw2_SuburbanRailway;pt_hw2_SuburbanRailway
Springpfuhl;pt_657653_SuburbanRailway;pt_657653_SuburbanRailway
Storkower Str;pt_97868_SuburbanRailway;pt_97868_SuburbanRailway
Suedkreuz;pt_176775_SuburbanRailway;pt_176775_SuburbanRailway
Treptower Park;pt_57292_SuburbanRailway;pt_57292_SuburbanRailway
Warschauer Str;pt_75928_SuburbanRailway;pt_75928_SuburbanRailway
Wartenberg;pt_290607_SuburbanRailway;pt_290607_SuburbanRailway
Wildau;pt_390297_SuburbanRailway;pt_390297_SuburbanRailway
Yorck Str;pt_251016_SuburbanRailway;pt_251016_SuburbanRailway
Zepernick;pt_23995_SuburbanRailway;pt_23995_SuburbanRailway
Zeuthen;pt_393235_SuburbanRailway;pt_393235_SuburbanRailway
