purpose,main_mode,share
work,bike,0.2019163397309529
work,car,0.2537457669502258
work,pt,0.39122653641089894
work,ride,0.011985726879577798
work,walk,0.1411256300283445
work_business,bike,0.1588191377078017
work_business,car,0.34027237972888935
work_business,pt,0.3203518584161652
work_business,ride,0.03818967155910842
work_business,walk,0.14236695258803536
edu_kiga,bike,0.27637872815146497
edu_kiga,car,0.0032177883077558404
edu_kiga,pt,0.09904529445580866
edu_kiga,ride,0.25988072027379183
edu_kiga,walk,0.36147746881117876
edu_primary,bike,0.2471859748008468
edu_primary,car,0.0023831551404308537
edu_primary,pt,0.11861662206330538
edu_primary,ride,0.17221262331805773
edu_primary,walk,0.4596016246773592
edu_secondary,bike,0.24948627758506114
edu_secondary,car,0.01181141542820444
edu_secondary,pt,0.5298774205640766
edu_secondary,ride,0.05877955921204554
edu_secondary,walk,0.15004532721061228
edu_higher,bike,0.12669628754181847
edu_higher,car,0.06940576943276454
edu_higher,pt,0.6806343316684694
edu_higher,ride,0.010735965858868183
edu_higher,walk,0.11252764549807948
edu_other,bike,0.22492417516583912
edu_other,car,0.10985318588027275
edu_other,pt,0.41977130897290893
edu_other,ride,0.05302877909290525
edu_other,walk,0.19242255088807414
shop_daily,bike,0.14492826033003847
shop_daily,car,0.18811879795294556
shop_daily,pt,0.13877755998174188
shop_daily,ride,0.04879045806210326
shop_daily,walk,0.4793849236731708
shop_other,bike,0.12721577495232217
shop_other,car,0.24528092577358204
shop_other,pt,0.22915877666097692
shop_other,ride,0.06989594508210761
shop_other,walk,0.3284485775310112
personal_business,bike,0.12349924483766589
personal_business,car,0.22460304215938823
personal_business,pt,0.29023929972364343
personal_business,ride,0.07088868215119774
personal_business,walk,0.29076973112810467
transport,bike,0.2033568319308027
transport,car,0.33968282325952187
transport,pt,0.12770417519060967
transport,ride,0.062911908681779
transport,walk,0.26634426093728675
leisure,bike,0.19828919110581614
leisure,car,0.20443424467128501
leisure,pt,0.29235664132661443
leisure,ride,0.08749110482551366
leisure,walk,0.21742881807077064
dining,bike,0.12419114154411659
dining,car,0.08247746358503481
dining,pt,0.168289925476841
dining,ride,0.047674300992176136
dining,walk,0.5773671684018313
outside_recreation,bike,0.11226325678675235
outside_recreation,car,0.0716979339179703
outside_recreation,pt,0.0565986165882101
outside_recreation,ride,0.024843464759929195
outside_recreation,walk,0.734596727947138
home,bike,0.18521866995569242
home,car,0.19866573668564538
home,pt,0.26596645453813417
home,ride,0.06254289445679892
home,walk,0.28760624436372906
other,bike,0.10374801966407485
other,car,0.22052508610961524
other,pt,0.3004388425642371
other,ride,0.11150654616279483
other,walk,0.2637815054992781
